mr,ref
"day[1 6], month[8], year[2004]","Today is August the sixteenth of the year 2004 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 1], month[12], year[2018]","It is the eleventh of December , 2018 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 9], month[6], year[2012]","The date is the nineteenth of June , 2012 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[8], year[2014]","Today is August the fifth , 2014 .","-1 -1 2 -1 1 4 3 -1"
"day[0 2], month[7], year[2008]","Today is July two in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 2], month[10], year[2005]","Today is two October 2005 .","-1 -1 0 2 3 -1"
"day[0 9], month[4], year[2001]","It is April the ninth of the year 2001 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 1], month[4], year[2004]","It is one April 2004 .","-1 -1 0 2 3 -1"
"day[2 9], month[1], year[2011]","The date is twenty nine January 2011 .","-1 -1 -1 0 0 2 3 -1"
"day[2 9], month[12], year[2020]","Today is December twenty nine , 2020 .","-1 -1 2 0 0 4 3 -1"
"day[0 5], month[8], year[2000]","Today is the fifth of August in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 3], month[10], year[2010]","Today is October thirteen in the year 2010 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[3 0], month[9], year[2010]","It is September thirty in the year 2010 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[3 1], month[10], year[2002]","It is October thirty one in the year 2002 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 5], month[10], year[2006]","It is October the fifteenth of the year 2006 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 1], month[4], year[2001]","Today is the thirty first of April in the year 2001 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[3], year[2004]","The date is the first of March in the year 2004 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[7], year[2005]","The date is July the tenth of the year 2005 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[5], year[2016]","It is eighteen May of the year 2016 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 4], month[2], year[2014]","The date is February the fourth of the year 2014 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 3], month[8], year[2005]","It is August thirteen , 2005 .","-1 -1 2 0 4 3 -1"
"day[0 5], month[12], year[2014]","It is December the fifth , 2014 .","-1 -1 2 -1 1 4 3 -1"
"day[2 5], month[1], year[2015]","It is January twenty five in the year 2015 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 2], month[2], year[2004]","Today is February the second of the year 2004 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[4], year[2008]","Today is twenty five April 2008 .","-1 -1 0 0 2 3 -1"
"day[1 8], month[6], year[2016]","Today is the eighteenth of June in the year 2016 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 1], month[3], year[2009]","Today is eleven March of the year 2009 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 0], month[5], year[2005]","Today is May twenty in the year 2005 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 7], month[1], year[2018]","Today is January twenty seven in the year 2018 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 8], month[12], year[2002]","The date is the twenty eighth of December , 2002 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 1], month[10], year[2019]","It is twenty one October 2019 .","-1 -1 0 0 2 3 -1"
"day[3 1], month[9], year[2011]","The date is September the thirty first , 2011 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 2], month[1], year[2016]","The date is January twenty two in the year 2016 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 7], month[11], year[2013]","The date is the seventh of November , 2013 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 8], month[10], year[2002]","It is twenty eight October 2002 .","-1 -1 0 0 2 3 -1"
"day[0 2], month[3], year[2017]","The date is March two in the year 2017 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[1], year[2013]","It is January thirteen , 2013 .","-1 -1 2 0 4 3 -1"
"day[0 5], month[2], year[2016]","Today is five February 2016 .","-1 -1 0 2 3 -1"
"day[1 9], month[11], year[2018]","The date is nineteen November of the year 2018 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 3], month[5], year[2018]","The date is thirteen May 2018 .","-1 -1 -1 0 2 3 -1"
"day[2 2], month[12], year[2020]","The date is twenty two December of the year 2020 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 4], month[12], year[2008]","The date is December the fourteenth , 2008 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 5], month[4], year[2004]","Today is April five , 2004 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[10], year[2010]","The date is the thirteenth of October , 2010 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 4], month[10], year[2008]","The date is October fourteen in the year 2008 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 7], month[11], year[2020]","The date is the seventeenth of November , 2020 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 1], month[5], year[2006]","The date is the eleventh of May in the year 2006 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[3], year[2014]","The date is the twenty third of March in the year 2014 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[8], year[2002]","It is August the thirty first , 2002 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 9], month[11], year[2019]","Today is nine November of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 0], month[3], year[2010]","The date is March ten in the year 2010 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 4], month[9], year[2000]","Today is September the twenty fourth , 2000 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 8], month[8], year[2018]","The date is eighteen August 2018 .","-1 -1 -1 0 2 3 -1"
"day[0 7], month[6], year[2009]","It is June the seventh , 2009 .","-1 -1 2 -1 1 4 3 -1"
"day[1 3], month[7], year[2019]","It is the thirteenth of July , 2019 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 1], month[6], year[2020]","The date is June eleven in the year 2020 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[3 0], month[8], year[2016]","The date is August the thirtieth of the year 2016 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 0], month[10], year[2002]","Today is October ten , 2002 .","-1 -1 2 0 4 3 -1"
"day[1 4], month[12], year[2009]","Today is December fourteen , 2009 .","-1 -1 2 0 4 3 -1"
"day[2 3], month[6], year[2018]","Today is June twenty three in the year 2018 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 0], month[1], year[2011]","Today is twenty January of the year 2011 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 1], month[12], year[2015]","Today is one December 2015 .","-1 -1 0 2 3 -1"
"day[0 8], month[1], year[2018]","The date is the eighth of January in the year 2018 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[9], year[2019]","The date is September the third of the year 2019 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[7], year[2014]","The date is twenty one July 2014 .","-1 -1 -1 0 0 2 3 -1"
"day[2 9], month[10], year[2002]","It is twenty nine October 2002 .","-1 -1 0 0 2 3 -1"
"day[1 8], month[3], year[2019]","The date is the eighteenth of March in the year 2019 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[7], year[2011]","It is nineteen July 2011 .","-1 -1 0 2 3 -1"
"day[0 7], month[8], year[2016]","Today is seven August of the year 2016 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 7], month[5], year[2019]","It is the seventh of May , 2019 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 8], month[6], year[2010]","Today is twenty eight June 2010 .","-1 -1 0 0 2 3 -1"
"day[2 5], month[11], year[2018]","Today is the twenty fifth of November , 2018 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 6], month[5], year[2004]","It is May the sixth of the year 2004 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 4], month[6], year[2002]","The date is June twenty four , 2002 .","-1 -1 -1 2 0 0 4 3 -1"
"day[1 5], month[2], year[2019]","The date is February the fifteenth , 2019 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 8], month[5], year[2002]","Today is May the eighteenth , 2002 .","-1 -1 2 -1 1 4 3 -1"
"day[2 1], month[8], year[2011]","Today is August the twenty first , 2011 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 9], month[4], year[2017]","It is nineteen April of the year 2017 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 9], month[7], year[2001]","The date is July nine in the year 2001 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[3 0], month[8], year[2001]","It is the thirtieth of August , 2001 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[3 1], month[12], year[2003]","It is the thirty first of December , 2003 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 7], month[1], year[2017]","Today is January seventeen , 2017 .","-1 -1 2 0 4 3 -1"
"day[0 7], month[4], year[2013]","Today is April seven in the year 2013 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[4], year[2014]","The date is April the first , 2014 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 4], month[12], year[2018]","It is twenty four December 2018 .","-1 -1 0 0 2 3 -1"
"day[2 1], month[11], year[2017]","It is November twenty one in the year 2017 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 6], month[5], year[2007]","Today is May six , 2007 .","-1 -1 2 0 4 3 -1"
"day[2 2], month[1], year[2005]","Today is twenty two January 2005 .","-1 -1 0 0 2 3 -1"
"day[1 8], month[11], year[2017]","It is eighteen November 2017 .","-1 -1 0 2 3 -1"
"day[0 8], month[2], year[2012]","The date is the eighth of February , 2012 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 8], month[12], year[2002]","Today is December the twenty eighth , 2002 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 1], month[6], year[2014]","It is June the eleventh of the year 2014 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 2], month[11], year[2016]","The date is November the twelfth , 2016 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 3], month[5], year[2002]","The date is the third of May , 2002 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[3 0], month[1], year[2005]","It is thirty January of the year 2005 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 8], month[9], year[2011]","It is September the eighth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[0 4], month[2], year[2012]","The date is the fourth of February , 2012 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 6], month[4], year[2009]","Today is the sixteenth of April , 2009 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 1], month[9], year[2012]","Today is September the first , 2012 .","-1 -1 2 -1 1 4 3 -1"
"day[1 2], month[5], year[2006]","Today is the twelfth of May , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 2], month[9], year[2005]","It is September two in the year 2005 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[2], year[2019]","It is February seven , 2019 .","-1 -1 2 0 4 3 -1"
"day[1 1], month[2], year[2011]","It is the eleventh of February , 2011 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 4], month[11], year[2015]","The date is the fourth of November in the year 2015 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 2], month[7], year[2009]","The date is July the twenty second of the year 2009 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 4], month[12], year[2008]","It is the fourth of December , 2008 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[3 0], month[7], year[2020]","Today is July the thirtieth of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 9], month[8], year[2010]","Today is twenty nine August of the year 2010 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 7], month[2], year[2008]","The date is the twenty seventh of February , 2008 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 2], month[1], year[2009]","The date is the second of January in the year 2009 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 4], month[2], year[2002]","Today is February fourteen in the year 2002 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 5], month[6], year[2018]","The date is June the fifteenth of the year 2018 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[9], year[2013]","Today is the eighth of September , 2013 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 1], month[4], year[2009]","The date is twenty one April 2009 .","-1 -1 -1 0 0 2 3 -1"
"day[2 6], month[3], year[2016]","It is March twenty six , 2016 .","-1 -1 2 0 0 4 3 -1"
"day[2 3], month[12], year[2015]","It is December the twenty third , 2015 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 1], month[1], year[2009]","It is January eleven , 2009 .","-1 -1 2 0 4 3 -1"
"day[2 2], month[4], year[2014]","The date is twenty two April of the year 2014 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 9], month[6], year[2011]","Today is the nineteenth of June in the year 2011 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[11], year[2003]","It is the twelfth of November in the year 2003 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[5], year[2001]","It is May the sixth , 2001 .","-1 -1 2 -1 1 4 3 -1"
"day[1 4], month[9], year[2001]","It is September the fourteenth of the year 2001 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 7], month[12], year[2003]","It is December twenty seven , 2003 .","-1 -1 2 0 0 4 3 -1"
"day[2 7], month[1], year[2000]","Today is January the twenty seventh of the year 2000 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 6], month[7], year[2020]","It is July six , 2020 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[3], year[2004]","It is March twenty nine , 2004 .","-1 -1 2 0 0 4 3 -1"
"day[2 2], month[6], year[2006]","It is the twenty second of June , 2006 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 1], month[2], year[2004]","It is twenty one February 2004 .","-1 -1 0 0 2 3 -1"
"day[1 1], month[7], year[2019]","Today is July eleven , 2019 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[1], year[2007]","The date is the thirteenth of January in the year 2007 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 5], month[7], year[2016]","It is fifteen July 2016 .","-1 -1 0 2 3 -1"
"day[1 7], month[9], year[2006]","It is the seventeenth of September , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 2], month[8], year[2017]","It is the twelfth of August , 2017 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[12], year[2006]","Today is the fifth of December , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 2], month[7], year[2007]","The date is twenty two July of the year 2007 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 1], month[11], year[2014]","The date is twenty one November of the year 2014 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 0], month[9], year[2002]","Today is September the twentieth of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[7], year[2006]","Today is the fifteenth of July in the year 2006 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[11], year[2001]","It is twenty eight November of the year 2001 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 3], month[6], year[2005]","The date is thirteen June of the year 2005 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 4], month[2], year[2016]","Today is twenty four February 2016 .","-1 -1 0 0 2 3 -1"
"day[2 4], month[5], year[2002]","Today is the twenty fourth of May in the year 2002 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 1], month[11], year[2010]","Today is the eleventh of November in the year 2010 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 6], month[11], year[2020]","Today is twenty six November of the year 2020 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 1], month[5], year[2016]","Today is one May 2016 .","-1 -1 0 2 3 -1"
"day[3 1], month[10], year[2001]","The date is October the thirty first , 2001 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[0 3], month[10], year[2007]","Today is October the third of the year 2007 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[5], year[2011]","The date is May the twenty sixth , 2011 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 8], month[9], year[2009]","Today is the twenty eighth of September , 2009 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 1], month[2], year[2013]","It is thirty one February of the year 2013 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 4], month[1], year[2000]","Today is January four in the year 2000 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 4], month[3], year[2009]","The date is the twenty fourth of March in the year 2009 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 6], month[9], year[2002]","The date is September the sixteenth , 2002 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 5], month[9], year[2006]","Today is September the fifth , 2006 .","-1 -1 2 -1 1 4 3 -1"
"day[1 0], month[1], year[2003]","Today is January the tenth , 2003 .","-1 -1 2 -1 1 4 3 -1"
"day[2 2], month[6], year[2009]","It is June the twenty second of the year 2009 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 3], month[8], year[2011]","Today is August three in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 7], month[8], year[2005]","The date is August seventeen , 2005 .","-1 -1 -1 2 0 4 3 -1"
"day[0 6], month[8], year[2014]","It is the sixth of August , 2014 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[3 1], month[6], year[2011]","The date is thirty one June 2011 .","-1 -1 -1 0 0 2 3 -1"
"day[2 2], month[8], year[2002]","The date is August the twenty second of the year 2002 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 2], month[1], year[2010]","The date is the twenty second of January , 2010 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 1], month[7], year[2003]","It is thirty one July of the year 2003 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 2], month[2], year[2014]","It is February twelve in the year 2014 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[1], year[2018]","Today is January the eleventh of the year 2018 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[3], year[2001]","Today is the twenty fifth of March , 2001 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 8], month[11], year[2004]","It is November the twenty eighth , 2004 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 2], month[12], year[2004]","It is December the second of the year 2004 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[2], year[2000]","It is the fifteenth of February in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 4], month[1], year[2004]","Today is January the twenty fourth , 2004 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 5], month[2], year[2013]","It is the fifteenth of February in the year 2013 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[2], year[2020]","The date is the twenty third of February in the year 2020 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 1], month[7], year[2011]","Today is July twenty one in the year 2011 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 8], month[3], year[2015]","Today is March the eighteenth of the year 2015 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 4], month[1], year[2004]","Today is fourteen January of the year 2004 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[3], year[2009]","Today is the third of March in the year 2009 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 2], month[12], year[2003]","It is December two , 2003 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[11], year[2002]","Today is November twenty nine , 2002 .","-1 -1 2 0 0 4 3 -1"
"day[0 5], month[6], year[2001]","Today is June five in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 8], month[5], year[2012]","Today is May eighteen in the year 2012 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 4], month[1], year[2002]","It is January four in the year 2002 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[11], year[2005]","Today is November the seventh of the year 2005 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 3], month[11], year[2016]","The date is twenty three November 2016 .","-1 -1 -1 0 0 2 3 -1"
"day[0 7], month[3], year[2007]","It is March seven , 2007 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[8], year[2011]","It is sixteen August 2011 .","-1 -1 0 2 3 -1"
"day[1 3], month[12], year[2013]","It is December thirteen , 2013 .","-1 -1 2 0 4 3 -1"
"day[1 8], month[7], year[2010]","It is eighteen July of the year 2010 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 1], month[12], year[2018]","It is the eleventh of December , 2018 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[4], year[2000]","Today is fifteen April of the year 2000 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 1], month[8], year[2015]","The date is August the first of the year 2015 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 7], month[2], year[2006]","The date is February seventeen , 2006 .","-1 -1 -1 2 0 4 3 -1"
"day[1 5], month[8], year[2010]","It is the fifteenth of August in the year 2010 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[4], year[2015]","It is four April of the year 2015 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 5], month[1], year[2004]","It is January the twenty fifth , 2004 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 9], month[8], year[2012]","It is the nineteenth of August in the year 2012 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[10], year[2019]","Today is October the twelfth , 2019 .","-1 -1 2 -1 1 4 3 -1"
